CODPROD,CODBARRAS,DESCRIPCION,PRECIO
1,,PRODUCTOS VARIOS,1
2,2,PRODUCTOS VARIOS,75001
5,,LLAVES,1500
6,78028531,PALLMALL 18,2800
7,7804656050029,LEVAMAS LEVADURA,4500
8,7804605820215,TRIANA MANTECA,3500
9,,ARRIENDO DE INMUEBLES AMOBLADOS,1
10,7622201717629,CLUB SOCIAL,2900
11,7802820454208,BENEDICTINO,1490
12,7783007820354,BALDE,1990
13,7898629670215,TABACO GOLDEN VIRGINIA,8500
14,7750727009819,SALMAS HORNEADAS,1990
15,812049006604,CAJA DE ARANDANOS,2900
16,7809611717214,VURGER QUINOA,1250
17,7798304850041,AROS DE CEBOLLA,3490
18,7801220000848,PASTA DE CHOCLO,3490
19,7801220004402,CHOCLO EN TROZO,3200
20,7808751400567,SILICONA R-66,3990
21,7802900003494,LECHE SOPROLE 200ML,490
22,,"LA COCINA DE PLATOS Y COPAS ",990
23,7702026180355,NOSOTRAS 8 ULTRA INVISIBLE,1250
24,7794626999314,KOTEX 2 EN 1 PERIODO,1390
25,7806500981527,ALCOHOL GEL,7900
26,079400052919,REXONA CLINICAL,5490
27,75029982,REXONA,2900
28,7896018703551,PLENITUD,1790
29,7506306207516,FIJADOR DE PELO,3490
30,7794626008214,HUGGIES PEQUEÑO,8700
31,7891150046481,JABON DOVE ORIGINAL,3490
32,7891150055230,DOVE OLEO MICELAR,4600
33,7790520006479,LYSOFORM LIMPIADOR CREMOSO 450ML,2900
34,7790520990020,PATO PURIFIC GEL LIMPIADOR,2990
35,7802920009834,LOS ALPES MOZZARELLA,3250
36,070847035800,MONSTER ENERGY,1990
37,078895133981,SALSA DE ANGUILA,2990
38,078895710922,PURE ASESAMO,8900
39,070847035206,MOSTERS,1990
40,7805095000712,CLORO PISCINA,4900
41,071603055827,CEPILLO PARA UÑAS,1490
42,7806810007443,VIRUTEX PARA PISOS,4200
43,038000138577,PRINGLES CHEDDAR CHEESE,2100
44,7802420001796,TE CEYLAN,990
45,7802420001284,CORAZONES DE ALCACHOFA,3400
46,7891962060453,TOSTADAS CLASICA,1100
47,7891962037349,QUEQUE COCO,1490
48,7891962037356,QUEQUE MARMOLADO,1490
49,7802420003592,SALSA DIP MAYO QUESO 220G,1690
50,7802420003455,SALSA DE MAYO AJO,1690
51,7802420003462,SALSA DIP TARTARA,1690
52,062020050526,NUTELLA GO,2450
53,,CHORIZO ARTESANAL,4500
54,5900020028075,CHOCAPIC BARRA,200
55,7802000014925,AVENA INSTANTANEA,2450
56,7802000015151,DE TODITO,1600
57,7802000015168,DE TODITO,1790
58,10030189,ALCOHOL 500CC,3990
59,7801000001331,AGUA OXIGENADA,2490
60,7800155006215,FLEXIBLE,4990
61,7809619915742,FLEXIBLE,14900
62,7802420007415,MANI SALADO,3490
63,7802000017742,MANI SALADO,1250
64,,ZAPALLO ITALIANO,750
99,,ALOJAMIENTO,1
100,7807265041907,CUADERNO,1650
101,,FILETE TIPO V,17500
102,,LOMO LISO TIPO V VACIO,16000
103,,LOMO VETADO TIPO V VACIO,17500
104,,PALANCA CAT V,12000
105,,ASIENTO V VACIO,5990
106,,POSTA ROSADA TIP V,12000
107,,POSTA NEGRA TIP V,7450
108,,POSTA PALETA TIP V,4490
109,,ABASTERO TIPO V VACIO PARAGUAY,9900
110,,CHOCLILLO TIP V,3900
111,,PLATEADA V,6900
112,,LOMITO DE CERDO,3500
113,7807265066771,CUADERNO,1650
114,3100004019569,PLASTICINA,1750
115,,CHURRASCO ENVASADO P.F,6100
116,,POSTA MOLIDA,4990
117,7804945076143,COLONIA BABYLAND,3250
118,1010025120675,PALITOS DE HELADO,600
119,,TAPAPECHO V,6900
120,,SALCHICHA PREF,2640
121,,PAVO ENTERO,2990
122,4100017283000,COLA FRIA,990
123,3100003712904,SACA PUNTAS,650
124,,PECHUGA DESHUESADA SUPERPOLLO,8500
125,,LOMO DE CENTRO CERDO,9900
126,,QUESO CABRA,19000
127,,QUESO QUILLAYES,21000
128,,PECHUGA PAVO GRANEL,4990
129,,PECHUGA PAVO DESHUEZADA SOPRAVAL,4990
130,,TRUTO LARGO SUPERPOLLO,2350
131,,TRUTO CORTO SUPERPOLLO,2350
132,,TRUTO ALA SUPER POLLO,5490
133,,PECHUGA ENTERA SUPERPOLLO,5900
134,,TRUTO ENTERO SUPERPOLLO,4500
135,,CHULETA CERDO ENVASADA,3900
136,,COLUDA V CAZUELA,1300
137,,PULPA DE CERDO SUPER CERDO,7490
138,,ALIMENTO PERRO,1990
140,,POLLO ENTERO,3700
141,,SALOMILLO DE CERDO,4800
142,,COSTILLAR DE CERDO,9990
143,,PAN FRIO,690
144,,ASADO TIRA TIP V,6900
145,,CHULETA DE CENTRO  CERDO,8490
146,,POLLO ENTERO SUPER POLLO,1690
147,,PECHUGA DE  PAVO  DESHUESADA,3990
148,6999881512181,CABLE SAMSUNG,3900
149,,JAMON ARTESANAL LA CRIANZA,9450
150,,VIENESAS,1450
151,7803910043647,LENTEJAS,2900
152,,JAMON ACARAMELADO S CERDO,7450
153,,JAMON COCIDO,4800
154,7809611717221,VURGER GARBANZOS,950
155,,JAMON PIERNA CORTE PLUMA WINTER,7450
156,,JAMON SANDWICH SOPRAVAL,7500
157,,JAMONADA CORRIENTE P.F,7500
158,,JAMON SANDWICH OMEÑACA,9000
159,7809611717207,VURGER POROTOS,1250
160,,PAVO COCIDO AHUM,4800
161,,SALCHICHON CERVEZA,3200
162,,QUESO DE CABEZA OMEÑACA,9900
163,,PICHANGA,3800
164,,PATITA RELLENA OME,3200
165,,SALAME COCIDO PF,4490
